x,y
2.636530651179693763e+01,3.413096881348093969e+00
2.654016178858580588e+01,3.429913725983278372e+00
2.671581940394016996e+01,3.447232230856731583e+00
2.689226128262420801e+01,3.465061330402976481e+00
2.706946826246572613e+01,3.483410310190170112e+00
2.724742009435615842e+01,3.502288806920103248e+00
2.742609544225056339e+01,3.521706808428198610e+00
2.760547188316762401e+01,3.541674653683513974e+00
2.778552590718965121e+01,3.562203032788739954e+00
2.796623291746258033e+01,3.583302986980200000e+00
2.814756723019597118e+01,3.604985908627851288e+00
2.832950207466301862e+01,3.627263541235285160e+00
2.851200959320053485e+01,3.650147979439725354e+00
2.869506084120895650e+01,3.673651669012029330e+00
2.887862578715234818e+01,3.697787406856687831e+00
2.906267331255840958e+01,3.722568341011825765e+00
2.924717121201844705e+01,3.748007970649199994e+00
2.943208619318741626e+01,3.774120146074203319e+00
2.961738387678388307e+01,3.800919068725859162e+00
2.980302879659004489e+01,3.828419291176825112e+00
2.998898439945172356e+01,3.856635717133393815e+00
3.017521304527836179e+01,3.885583601435488976e+00
3.036167600704303737e+01,3.915278550056669804e+00
3.054833347078244898e+01,3.945736520104126566e+00
3.073514453559692328e+01,3.976973819818685030e+00
3.092206721365041489e+01,4.009007108574804690e+00
3.110905843017049932e+01,4.041853396880575211e+00
3.129607402344837297e+01,4.075530046377723536e+00
3.148306874483887796e+01,4.110054769841608113e+00
3.166999625876046309e+01,4.145445631181219781e+00
3.185680914269521224e+01,4.181721045439186213e+00
3.204345888718883373e+01,4.218899778791763922e+00
3.222989589585066028e+01,4.257000948548846253e+00
3.241606948535364552e+01,4.296044023153959834e+00
3.260192788543437814e+01,4.336048822184261908e+00
3.278741823889307483e+01,4.377035516350546551e+00
3.297248660159357314e+01,4.419024627497239344e+00
3.315707794246332440e+01,4.462037028602399147e+00
3.334113614349344346e+01,4.506093943777719879e+00
3.352460399973861627e+01,4.551216948268526075e+00
3.370742321931719943e+01,4.597427968453778213e+00
3.388953442341115618e+01,4.644749281846067390e+00
3.407087714626608488e+01,4.693203517091623311e+00
3.425138983519119762e+01,4.742813653970303633e+00
3.443100985055934871e+01,4.793603023395603735e+00
3.460967346580700621e+01,4.845595307414646946e+00
3.478731586743425908e+01,4.898814539208195207e+00
3.496387115500483844e+01,4.953285103090642849e+00
3.513927234114609632e+01,5.009031734510013933e+00
3.531345135154900561e+01,5.066079520047972018e+00
3.548633902496816006e+01,5.124453897419808612e+00
3.565786511322178853e+01,5.184180655474449395e+00
3.582795828119176207e+01,5.245285934194459543e+00
3.599654610682353706e+01,5.307796224696027743e+00
3.616355508112621919e+01,5.371738369228983956e+00
3.632891060817255635e+01,5.437139561176789648e+00
3.649253700509888887e+01,5.504027345056536014e+00
3.665435750210522059e+01,5.572429616518954631e+00
3.681429424245513360e+01,5.642374622348402369e+00
3.697226828247588060e+01,5.713890960462877366e+00
3.712819959155832095e+01,5.787007579914003941e+00
3.728200705215694200e+01,5.861753780887046794e+00
3.743360845978983775e+01,5.938159214700894140e+00
3.758292052303877995e+01,6.016253883808083458e+00
3.772985886354909724e+01,6.096068141794765083e+00
3.787433801602981731e+01,6.177632693380744833e+00
3.801627142825353189e+01,6.260978594419442267e+00
3.815557146105648201e+01,6.346137251897925324e+00
3.829214938833854376e+01,6.433140423936882790e+00
3.842591539706322834e+01,6.522020219790649165e+00
3.855677858725762519e+01,6.612809099847179795e+00
3.868464697201250146e+01,6.705539875628078406e+00
3.880942747748222388e+01,6.800245709788566018e+00
3.893102594288480134e+01,6.896960116117510253e+00
3.904934712050183521e+01,6.995716959537399582e+00
3.916429467567859746e+01,7.096550456104371740e+00
3.927577118682394541e+01,7.199495173008179094e+00
3.938367814541039991e+01,7.304586028572229495e+00
3.948786283410348830e+01,7.411839013951732724e+00
3.958806292532703708e+01,7.521234368489043476e+00
3.968414238135179772e+01,7.632800225689614138e+00
3.977597496595213755e+01,7.746565819425178745e+00
3.986343586627497615e+01,7.862558326741612369e+00
3.994640169283971431e+01,7.980802867858908023e+00
4.002475047953831933e+01,8.101322506171218407e+00
4.009836168363526809e+01,8.224138248246813276e+00
4.016711618576758269e+01,8.349269043828119408e+00
4.023089628994478772e+01,8.476731785831681520e+00
4.028958572354896717e+01,8.606541310348202245e+00
4.034306963733471463e+01,8.738710396642497713e+00
4.039123460542915467e+01,8.873249767153547296e+00
4.043396862533194280e+01,9.010168087494445643e+00
4.047116111791526549e+01,9.149471966452439986e+00
4.050270292742383305e+01,9.291165955988901715e+00
4.052848632147489383e+01,9.435252551239358354e+00
4.054840499105820584e+01,9.581732190513447378e+00
4.056235405053607224e+01,9.730603255294976606e+00
4.057023003764332714e+01,9.881862070241858476e+00
4.057193091348731429e+01,1.003550290318617222e+01
4.056735606254792970e+01,1.019151796513410702e+01
4.055640629267757902e+01,1.034989741026601706e+01
4.053898383510121306e+01,1.051062933593636473e+01
4.051499916244540600e+01,1.067369734456639208e+01
4.048439708627439160e+01,1.083906986881980750e+01
4.044709446030795874e+01,1.100672157280525099e+01
4.040300922675423578e+01,1.117662472906162208e+01
4.035206682431945779e+01,1.134874706245333620e+01
4.029420018820804472e+01,1.152305175017032290e+01
4.022934975012255165e+01,1.169949742172798679e+01
4.015746343826369014e+01,1.187803815896726789e+01
4.007849667733030685e+01,1.205862349605457773e+01
3.999241238851942626e+01,1.224119841948186682e+01
3.989918098952619374e+01,1.242570336806655540e+01
3.979878039454393246e+01,1.261207423295159913e+01
3.969119601426410071e+01,1.280024235760542517e+01
3.957642075587630615e+01,1.299013453782199790e+01
3.945445502306831997e+01,1.318167302172075139e+01
3.932530671602604144e+01,1.337477550974665874e+01
3.918899123143355467e+01,1.356935515467016096e+01
3.904553146247305051e+01,1.376532056158723805e+01
3.889495779882491888e+01,1.396257578791934151e+01
3.873730812666765644e+01,1.416102034341345473e+01
3.857262782867793760e+01,1.436054919014203612e+01
3.840096978403057904e+01,1.456105274250308490e+01
3.822239436839855387e+01,1.476241686722005753e+01
3.803696945395297035e+01,1.496452288334196368e+01
3.784472840900636470e+01,1.516727415981445759e+01
3.764516958613621966e+01,1.537091348184626582e+01
3.743831952021922405e+01,1.557535158641035089e+01
3.722442836617784678e+01,1.578036078312573132e+01
3.700374406831200247e+01,1.598571797142683337e+01
3.677651236029895898e+01,1.619120464056356212e+01
3.654297676519338722e+01,1.639660686960127833e+01
3.630337859542738244e+01,1.660171532742075229e+01
3.605795695281042157e+01,1.680632527271824728e+01
