Date,Action,Price
2019-05-17,BUY,7343.895508
2019-05-19,SELL,8197.689453
2019-05-20,BUY,7978.309082
2019-06-03,SELL,8208.995117
2019-06-04,BUY,7707.770996
2019-06-05,SELL,7824.231445
2019-06-06,BUY,7822.023438
2019-06-26,SELL,13016.231445
2019-06-27,BUY,11182.806641
2019-06-28,SELL,12407.332031
2019-06-30,BUY,10817.155273
2019-07-04,SELL,11215.4375
2019-07-05,BUY,10978.459961
2019-07-10,SELL,12156.512695
2019-07-14,BUY,10256.058594
2019-07-15,SELL,10895.089844
2019-07-16,BUY,9477.641602
2019-07-18,SELL,10666.482422
2019-07-19,BUY,10530.732422
2019-07-21,SELL,10599.105469
2019-07-30,BUY,9607.423828
2019-08-10,SELL,11354.024414
2019-08-11,BUY,11523.579102
2019-08-12,SELL,11382.616211
2019-08-14,BUY,10051.704102
2019-08-15,SELL,10311.545898
2019-08-17,BUY,10231.744141
2019-08-20,SELL,10763.232422
2019-08-22,BUY,10131.055664
2019-08-23,SELL,10407.964844
2019-08-24,BUY,10159.960938
2019-08-26,SELL,10370.820313
2019-08-29,BUY,9510.200195
2019-09-05,SELL,10575.533203
2019-09-06,BUY,10353.302734
2019-09-09,SELL,10334.974609
2019-09-12,BUY,10410.126953
2019-09-16,SELL,10276.793945
2019-09-18,BUY,10198.248047
2019-09-19,SELL,10266.415039
2019-09-21,BUY,10019.716797
2019-09-22,SELL,10070.392578
2019-09-24,BUY,8620.566406
2019-09-27,SELL,8251.845703
2019-09-29,BUY,8104.185547
2019-09-30,SELL,8293.868164
2019-10-01,BUY,8343.276367
2019-10-07,SELL,8245.623047
2019-10-08,BUY,8228.783203
2019-10-12,SELL,8336.555664
2019-10-18,BUY,7973.20752
2019-10-19,SELL,7988.560547
2019-10-20,BUY,8222.078125
2019-10-21,SELL,8243.720703
2019-10-23,BUY,7514.671875
2019-11-11,SELL,8757.788086
2019-11-13,BUY,8808.262695
2019-11-16,SELL,8550.760742
2019-11-19,BUY,8206.145508
2019-11-20,SELL,8027.268066
2019-11-22,BUY,7296.577637
2019-11-23,SELL,7397.796875
2019-11-24,BUY,7047.916992
2019-11-25,SELL,7146.133789
2019-11-26,BUY,7218.371094
2019-11-27,SELL,7531.663574
2019-11-28,BUY,7463.105957
2019-11-29,SELL,7761.243652
2019-11-30,BUY,7569.629883
2019-12-02,SELL,7321.988281
2019-12-04,BUY,7252.034668
2019-12-08,SELL,7564.345215
2019-12-10,BUY,7278.119629
2019-12-13,SELL,7269.68457
2019-12-14,BUY,7124.673828
2019-12-15,SELL,7152.301758
2019-12-17,BUY,6640.515137
2019-12-30,SELL,7292.995117
2019-12-31,BUY,7193.599121
2020-01-01,SELL,7200.174316
2020-01-02,BUY,6985.470215
2020-01-04,SELL,7410.656738
2020-01-05,BUY,7411.317383
2020-01-24,SELL,8445.43457
2020-01-25,BUY,8367.847656
2020-02-16,SELL,9934.433594
2020-02-17,BUY,9690.142578
2020-02-23,SELL,9924.515625
2020-02-26,BUY,8820.522461
2020-03-02,SELL,8869.669922
2020-03-03,BUY,8787.786133
2020-03-05,SELL,9078.762695
2020-03-08,BUY,8108.116211
2020-03-10,SELL,7909.729492
2020-03-12,BUY,4970.788086
2020-03-13,SELL,5563.707031
2020-03-14,BUY,5200.366211
2020-03-15,SELL,5392.314941
2020-03-16,BUY,5014.47998
2020-03-20,SELL,6198.77832
2020-03-22,BUY,5830.254883
2020-05-07,SELL,9951.518555
2020-05-08,BUY,9842.666016
2020-05-09,SELL,9593.896484
2020-05-10,BUY,8756.430664
2020-06-01,SELL,10167.268555
2020-06-02,BUY,9529.803711
2020-06-15,SELL,9450.702148
2020-06-16,BUY,9538.024414
2020-06-24,SELL,9313.610352
2020-06-25,BUY,9264.813477
2020-06-29,SELL,9190.854492
2020-06-30,BUY,9137.993164
2020-07-01,SELL,9228.325195
2020-07-03,BUY,9087.303711
2020-07-04,SELL,9132.488281
2020-07-05,BUY,9073.942383
2020-07-09,SELL,9277.967773
2020-07-10,BUY,9278.807617
2020-07-17,SELL,9151.392578
2020-07-18,BUY,9159.040039
2020-08-02,SELL,11053.614258
2020-08-03,BUY,11246.348633
2020-08-10,SELL,11878.111328
2020-08-12,BUY,11584.93457
2020-08-14,SELL,11768.871094
2020-08-16,BUY,11892.803711
2020-08-18,SELL,11991.233398
2020-08-27,BUY,11323.397461
2020-08-29,SELL,11506.865234
2020-08-31,BUY,11680.820313
2020-09-01,SELL,11970.478516
2020-09-03,BUY,10245.296875
2020-09-04,SELL,10511.813477
2020-09-05,BUY,10169.567383
2020-09-06,SELL,10280.351563
2020-09-08,BUY,10131.516602
2020-09-11,SELL,10400.915039
2020-09-13,BUY,10323.755859
2020-09-14,SELL,10680.837891
2020-09-15,BUY,10796.951172
2020-09-20,SELL,10938.271484
2020-09-23,BUY,10225.864258
2020-09-27,SELL,10774.426758
2020-09-28,BUY,10721.327148
2020-09-30,SELL,10787.618164
2020-10-02,BUY,10585.164063
2020-10-06,SELL,10621.664063
2020-10-07,BUY,10679.136719
2020-11-07,SELL,14833.753906
2020-11-08,BUY,15479.567383
2020-11-25,SELL,18732.121094
2020-11-26,BUY,17150.623047
2020-12-09,SELL,18553.916016
2020-12-10,BUY,18264.992188
2021-01-10,SELL,38356.441406
2021-01-11,BUY,35566.65625
2021-01-16,SELL,36178.140625
2021-01-17,BUY,35791.277344
2021-01-19,SELL,36069.804688
2021-01-21,BUY,30825.699219
2021-01-22,SELL,33005.761719
2021-01-23,BUY,32067.642578
2021-01-25,SELL,32366.392578
2021-01-27,BUY,30432.546875
2021-01-28,SELL,31649.605469
2021-01-29,BUY,34316.386719
2021-02-21,SELL,57539.945313
2021-02-23,BUY,48824.425781
2021-02-24,SELL,49705.332031
2021-02-25,BUY,47093.851563
2021-02-27,SELL,46188.453125
2021-02-28,BUY,45137.769531
2021-03-01,SELL,49631.242188
2021-03-02,BUY,48378.988281
2021-03-03,SELL,50538.242188
2021-03-04,BUY,48561.167969
2021-03-13,SELL,61243.085938
2021-03-16,BUY,56804.902344
2021-03-18,SELL,57858.921875
2021-03-19,BUY,58346.652344
2021-03-20,SELL,58313.644531
2021-03-22,BUY,54529.144531
2021-03-23,SELL,54738.945313
2021-03-24,BUY,52774.265625
2021-03-26,SELL,55137.3125
2021-03-27,BUY,55973.511719
2021-03-31,SELL,58918.832031
2021-04-03,BUY,57603.890625
2021-04-05,SELL,59057.878906
2021-04-07,BUY,56048.9375
2021-04-15,SELL,63314.011719
2021-04-18,BUY,56216.183594
2021-04-19,SELL,55724.265625
2021-04-21,BUY,53906.089844
2021-04-23,SELL,51093.652344
2021-04-24,BUY,50050.867188
2021-04-26,SELL,54021.753906
2021-04-29,BUY,53555.109375
2021-04-30,SELL,57750.175781
2021-05-02,BUY,56631.078125
2021-05-03,SELL,57200.292969
2021-05-04,BUY,53333.539063
2021-05-05,SELL,57424.007813
2021-05-10,BUY,55859.796875
2021-05-11,SELL,56704.574219
2021-05-12,BUY,49150.535156
2021-05-13,SELL,49716.191406
2021-05-15,BUY,46760.1875
2021-05-16,SELL,46456.058594
2021-05-17,BUY,43537.511719
2021-05-18,SELL,42909.402344
2021-05-19,BUY,37002.441406
2021-05-20,SELL,40782.738281
2021-05-21,BUY,37304.691406
2021-05-22,SELL,37536.632813
2021-05-23,BUY,34770.582031
2021-05-24,SELL,38705.980469
2021-05-28,BUY,35697.605469
2021-05-30,SELL,35678.128906
2021-06-04,BUY,36894.40625
2021-06-06,SELL,35862.378906
2021-06-07,BUY,33560.707031
2021-06-09,SELL,37345.121094
2021-06-12,BUY,35552.515625
2021-06-14,SELL,40218.476563
2021-06-16,BUY,38347.0625
2021-06-17,SELL,38053.503906
2021-06-18,BUY,35787.246094
2021-06-19,SELL,35615.871094
2021-06-21,BUY,31676.693359
2021-06-23,SELL,33723.027344
2021-06-25,BUY,31637.779297
2021-06-26,SELL,32186.277344
2021-06-28,BUY,34434.335938
2021-06-29,SELL,35867.777344
2021-07-01,BUY,33572.117188
2021-07-02,SELL,33897.046875
2021-07-03,BUY,34668.546875
2021-07-04,SELL,35287.78125
2021-07-05,BUY,33746.003906
2021-07-06,SELL,34235.195313
2021-07-08,BUY,32877.371094
2021-07-10,SELL,33520.519531
2021-07-12,BUY,33155.847656
2021-07-13,SELL,32702.025391
2021-07-15,BUY,31780.730469
2021-07-17,SELL,31533.068359
2021-07-20,BUY,29807.347656
2021-07-21,SELL,32110.693359
2021-07-22,BUY,32313.105469
2021-08-01,SELL,39974.894531
2021-08-02,BUY,39201.945313
2021-08-16,SELL,46004.484375
2021-08-17,BUY,44695.359375
2021-08-18,SELL,44801.1875
2021-08-19,BUY,46717.578125
